"Keyword","Trends","Impressions"
"venmo qr code","[78,62,87,73,140,224,138,353,804,324,144,143,228,173,77,98,124,108,176,415,737,931,932,820,1001]","8390"
"cómo usar un código qr","[27,35,95,173,254,202,299,662,1015,1230,1522,1374,1587]","8475"
"my qr code","[378,382,379,370,392,396,418,376,382,335,357,311,318,326,254,286,310,248,329,298,287,307,353,332,370]","8494"
"qr kod","[358,367,431,301,331,433,462,349,376,349,388,332,365,334,491,375,396,330,359,265,165,186,217,273,271]","8504"
"crear qr gratis","[326,327,326,282,333,364,411,338,333,311,340,356,352,388,377,323,349,299,327,286,316,394,354,435,526]","8773"
"cómo leer códigos qr","[94,241,140,218,724,1267,1380,1652,1499,1704]","8919"
"ler qr code","[382,375,411,317,359,317,378,431,385,361,362,384,314,377,400,364,361,315,328,312,354,392,351,461,395]","9186"
"qr cargo tracking","[230,226,324,252,286,293,344,351,351,383,429,289,346,345,432,461,495,397,377,366,408,441,417,455,511]","9209"
"how to scan qr codes on mobile","[36,101,83,152,974,1741,1731,1816,1517,1469]","9620"
"escáner qr","[394,419,400,269,340,457,392,375,414,402,394,344,428,384,369,373,362,313,422,370,369,413,408,431,449]","9691"
"free qr generator","[451,492,590,397,469,496,473,422,446,384,344,304,342,422,373,300,269,301,303,328,370,472,389,385,422]","9944"
"me qr code","[420,380,410,370,498,534,546,521,505,426,525,380,396,422,380,359,355,336,328,361,311,313,289,359,436]","10160"
"creador de qr","[472,453,482,239,395,473,511,454,456,553,516,480,529,388,430,419,374,339,348,307,335,376,337,341,398]","10405"
"qr kod okutma","[542,535,663,593,531,654,616,582,503,493,414,352,380,422,412,417,398,359,351,329,342,329,310,338,343]","11208"
"qr scanner online","[573,517,562,435,432,429,457,405,470,489,537,434,407,428,426,442,447,420,454,414,409,448,488,430,429]","11382"
"leitor de qr code","[464,473,433,362,434,445,399,450,476,461,544,545,435,491,545,373,425,396,411,446,447,461,490,517,500]","11423"
"qr kodu oluşturucusu","[404,408,517,683,650,613,738,627,528,490,476,430,509,316,301,387,396,400,360,348,395,374,413,367,399]","11529"
"url to qr code","[492,445,477,508,519,533,546,469,432,509,469,395,462,491,419,399,431,435,471,490,460,419,417,440,456]","11584"
"qr gratis","[546,538,557,298,471,553,561,425,506,631,500,512,493,476,492,448,400,427,388,398,415,357,361,417,468]","11638"
"qr creator","[540,497,484,407,421,522,440,414,488,543,529,438,476,533,462,504,391,475,444,391,408,481,465,519,498]","11770"
"qr code scan","[563,521,582,443,511,472,564,609,567,499,492,471,489,532,497,464,512,505,437,383,318,328,315,355,393]","11822"
"como ler um código qr","[124,234,213,412,931,1653,2092,2342,2114,1912]","12027"
"генератор qr кодов","[418,385,310,385,379,854,1115,1162,680,565,572,469,478,351,362,387,337,346,297,345,380,371,325,374,394]","12041"
"generar código qr","[676,612,603,337,511,602,580,490,557,527,498,494,582,565,477,430,375,451,386,412,415,331,369,436,415]","12131"
"generador de qr gratis","[478,479,428,298,501,536,542,427,536,527,484,516,480,557,563,478,463,407,453,390,429,474,481,582,674]","12183"
"kod qr","[496,539,505,434,452,544,589,536,501,488,469,508,345,518,790,691,628,686,593,448,274,267,303,322,316]","12242"
"qr tiger","[588,594,615,547,527,604,568,560,476,527,547,455,484,500,569,447,472,476,400,409,398,452,418,479,521]","12633"
"link to qr","[572,450,506,488,563,596,563,527,498,631,547,427,472,534,514,486,433,445,502,490,523,465,454,460,505]","12651"
"generador qr","[682,639,672,411,580,651,676,534,647,631,654,628,610,581,508,428,460,418,397,451,406,371,407,552,431]","13425"
"scanner qr","[591,503,579,463,490,594,582,494,544,526,552,576,509,590,538,502,493,572,564,527,548,539,637,595,604]","13712"
"como ler códigos qr","[162,385,229,414,1257,1939,2189,2353,2323,2482]","13733"
"qr code generieren","[711,755,736,484,529,674,693,627,720,572,617,488,533,697,549,498,467,451,445,421,387,393,354,482,523]","13806"
"cómo escanear un código qr","[31,23,27,52,22,67,70,103,75,28,23,34,74,236,377,294,479,1233,1883,1858,2411,2394,2417]","14211"
"www.web.whatsapp.com qr code","[261,253,294,300,503,456,461,517,536,582,687,558,581,720,685,621,668,622,702,763,710,769,643,732,684]","14308"
"qr kodu","[426,406,437,504,634,506,566,606,515,517,421,338,477,579,1013,940,822,852,899,648,410,400,411,473,514]","14314"
"escanear código qr","[751,734,700,533,652,639,554,610,558,589,608,588,574,564,554,491,510,521,544,469,502,468,561,619,630]","14523"
"使用 qr 代碼連線 wi-fi windows","[658,574,625,591,641,657,611,563,552,531,600,512,592,576,580,567,557,574,571,557,484,599,597,586,648]","14603"
"qr codes","[745,791,739,585,578,705,692,664,603,594,628,564,599,606,559,512,501,509,523,531,453,497,501,535,521]","14735"
"whatsapp web qr code scan","[101,403,323,293,394,235,192,552,2109,1220,961,1108,4100,3328]","15319"
"qr maker","[749,608,632,557,660,763,797,747,753,721,698,521,658,637,588,574,484,487,510,585,556,546,632,671,667]","15801"
"how to read a qr code","[25,25,39,43,38,52,56,44,46,51,42,28,36,29,181,429,388,567,1570,2411,2687,2546,2224,2277]","15834"
"lector de qr","[587,610,704,506,582,606,642,602,661,683,590,650,675,679,645,681,595,619,638,617,631,608,692,705,678]","15886"
"scan qr code on laptop","[655,661,725,646,696,733,692,662,680,600,609,499,571,638,627,704,581,589,673,655,623,572,610,652,600]","15953"
"scanner qr code","[633,621,698,745,582,664,697,599,706,591,633,623,741,689,730,644,657,656,567,633,586,584,567,643,696]","16185"
"make qr code","[797,677,701,606,720,769,791,788,698,701,657,634,695,702,613,547,511,509,567,522,571,665,579,643,742]","16405"
"qr code free","[629,738,714,711,720,815,868,755,729,752,757,704,722,792,670,575,503,539,592,578,497,625,471,624,662]","16742"
"whatsapp qr code","[655,508,644,669,763,703,705,735,764,828,879,803,904,953,579,585,664,632,529,586,624,619,623,668,637]","17259"
"qr code scanner online","[668,751,784,690,595,694,773,706,794,694,846,571,709,688,726,628,789,674,698,664,708,575,641,667,703]","17436"
"qr scan","[700,803,799,705,686,711,722,634,660,659,681,691,684,704,652,696,658,705,768,671,685,727,734,726,788]","17649"
"qrcode generator","[832,871,815,758,740,851,872,768,817,782,805,696,697,689,702,661,556,683,659,673,634,628,570,639,642]","18040"
"qr code gratuit","[852,979,1143,958,768,793,869,829,830,711,797,674,874,830,807,711,566,511,445,474,539,436,414,552,766]","18128"
"free qr code","[677,985,1011,698,786,810,941,792,766,810,639,582,624,657,683,678,532,534,542,624,680,1006,713,730,828]","18328"
"generator kodów qr","[723,820,804,835,804,901,872,745,881,763,749,775,683,645,600,706,731,676,671,624,613,692,693,716,846]","18568"
"qr code generator free online","[929,1338,1436,1057,1226,1389,1399,1296,693,455,496,424,833,629,514,453,514,649,699,467,527,558,544,471,568]","19564"
"monkey qr","[787,727,727,628,785,913,987,877,976,993,949,815,831,922,789,768,700,705,729,647,658,712,720,726,814]","19885"
"monkey qr code","[850,709,739,733,771,867,908,954,921,886,847,687,800,924,854,700,723,755,832,717,680,767,710,714,902]","19950"
"whatsapp web qr","[946,760,785,591,735,841,882,817,963,799,1177,801,825,987,827,782,683,628,571,627,608,539,918,1203,768]","20063"
"qr ofertas","[784,807,769,789,843,877,768,829,905,834,920,931,793,762,797,728,834,681,959,881,782,817,768,861,895]","20614"
"criar qr code","[989,962,979,744,855,916,826,830,975,982,961,934,741,877,860,752,696,711,697,767,732,853,849,775,793]","21056"
"cómo escanear códigos qr","[265,522,330,727,1907,3015,3313,4168,3359,3532]","21138"
"make a qr code","[1028,1014,1026,915,853,1033,1070,1034,925,925,872,734,902,833,790,704,649,681,729,745,798,955,854,930,933]","21932"
"générateur de code qr","[925,924,1068,1277,980,1080,1222,1059,1154,999,1014,941,1136,798,707,893,680,655,618,648,667,666,752,721,845]","22429"
"gerador de código qr","[815,916,903,875,1092,1184,1009,906,874,813,837,818,821,642,707,942,892,806,860,851,873,1073,1061,1007,1008]","22585"
"qr code generator kostenlos","[962,994,905,737,838,1221,1381,1178,1093,788,950,724,852,1314,1164,1001,851,688,686,745,511,612,642,982,1004]","22823"
"สร้าง qr code","[1095,1119,1065,936,744,379,878,828,795,870,970,989,713,937,936,981,938,998,932,992,515,1011,979,1135,1144]","22879"
"me qr","[1055,828,827,872,1125,1134,1403,1302,1331,1060,1013,887,997,848,906,784,758,797,789,793,823,730,814,907,958]","23741"
"qr code identification","[1872,1131,1071,115,369,810,810,912,599,269,1869,1757,1555,1803,1717,1420,894,888,897,1607,1405]","23770"
"scan qr","[948,932,1014,881,941,975,1020,941,985,1010,1008,882,928,1029,941,905,914,976,971,1001,937,904,936,950,990]","23919"
"qr 코드를 사용하여 wi-fi 연결하기 windows","[1246,1176,1093,1083,1026,1053,973,878,870,995,942,946,862,954,965,813,864,945,834,882,906,913,918,889,979]","24005"
"crear qr","[1065,1018,1012,634,948,1161,1128,888,1162,1183,1072,1166,1145,1065,1000,884,842,819,740,811,844,789,779,890,984]","24029"
"tạo mã qr","[1120,1155,1218,1142,1235,1284,1063,589,1114,999,1152,1012,968,921,981,954,889,940,908,931,948,987,1001,883,689]","25083"
"generar qr","[1021,964,1078,616,990,1141,1237,922,1125,1114,1189,1271,1117,1047,1052,962,889,880,891,863,876,945,917,1104,1138]","25349"
"how to make a qr code","[1143,1102,1222,1068,1165,1274,1335,1238,1188,1120,1051,960,1005,950,830,773,741,787,799,871,884,976,971,1005,1027]","25485"
"qr generator free","[1244,1107,1046,953,1154,1343,1329,1192,1204,1158,1093,856,990,1250,1040,1064,932,900,936,983,897,1018,841,936,948]","26414"
"whatsapp web qr code","[411,364,448,404,415,408,376,429,457,449,680,1963,925,931,836,1047,1093,601,988,1697,2035,3077,2798,1801,1895]","26528"
"whatsapp web código qr","[489,423,402,252,305,307,339,310,362,313,542,921,778,788,637,742,627,370,826,2647,1632,1685,2544,4573,3717]","26531"
"gerador de qr code","[1158,1280,1215,1056,1093,1141,967,1022,1209,1184,1369,1180,951,1226,1208,1191,1095,1055,1065,935,1036,1177,1128,1145,1059]","28145"
"qr reader","[1171,1143,1139,1076,1159,1131,1276,1112,1086,1193,1147,1043,1102,1136,1095,1164,1107,1178,1140,1110,1219,1204,1163,1323,1295]","28912"
"code qr","[713,632,673,721,848,662,1057,1019,851,843,606,506,672,1179,3361,2907,2748,2787,2233,1157,470,522,474,655,663]","28959"
"qr code產生器","[995,978,924,757,886,949,949,845,978,953,910,956,822,1607,767,1523,1533,1339,1466,1394,1449,1369,1466,1633,1822]","29270"
"canva qr code generator","[1314,1254,1314,1094,1355,1448,1562,1428,1335,1335,1298,1162,1230,1387,1292,1059,1015,963,995,1015,1039,1153,1060,1272,1402]","30781"
"cómo leer un código qr","[30,61,56,77,38,23,431,854,511,1031,2725,4568,4842,5567,5323,5354]","31491"
"qr code maken","[1991,1788,1808,1679,1391,1572,1393,975,1512,1426,1691,1408,1748,1681,1396,1069,926,809,658,549,581,557,700,939,1256]","31503"
"qr code for pc","[1253,1341,1243,1358,1230,1301,1152,1189,1191,1356,1283,1273,1296,1530,1514,1485,1278,1548,1462,1282,1330,1149,1263,1253,1260]","32820"
"create qr code free","[1368,1320,1370,1278,1225,1451,1586,1486,1451,1452,1348,1142,1313,1557,1380,1330,1282,1217,1191,1161,1248,1352,1330,1403,1405]","33646"
"qr code creator","[1694,1751,1722,1293,1693,1999,1902,1698,1498,1506,1565,1171,1389,1554,1424,1365,1071,1253,1168,1262,1367,1213,1281,1244,1343]","36426"
"qr code scanner app","[987,980,1111,1087,988,1020,1075,1120,1484,1978,3752,3265,3162,2943,1397,1271,1100,1037,832,981,1095,991,949,1229,981]","36815"
"generador de código qr","[1349,1444,1597,1537,1808,2043,1951,1628,1781,1635,1577,1615,1585,1174,1192,1463,1353,1419,1385,1349,1428,1537,1728,1615,1721]","38914"
"lector qr","[1688,1691,1729,1360,1651,1640,1600,1436,1539,1696,1675,1728,1671,1671,1581,1618,1626,1834,1577,1655,1586,1529,1625,1665,1841]","40912"
"gerar qr code","[1449,1529,1499,1293,1815,1836,1498,1688,1847,1961,1896,1955,1477,1940,1873,1612,1532,1609,1631,1610,1637,1810,1751,1758,1817]","42323"
"create a qr code","[2041,2014,1991,1614,1763,2071,2053,2000,1872,1905,1721,1366,1593,1776,1579,1426,1236,1453,1440,1506,1534,1850,1541,1701,1783]","42829"
"adobe qr code generator","[2004,1800,1783,1454,1579,1981,1966,1789,1875,1830,1747,1489,1811,1794,1825,1484,1487,1476,1598,1562,1659,1823,1852,1846,2008]","43522"
"qr code erstellen","[2329,2260,2248,1583,1529,2176,2309,1923,2241,1761,2353,1584,1990,2375,2136,1658,1662,1600,1356,1354,1270,1314,1362,1631,1816]","45820"
"codigo qr","[2337,2168,2213,1457,2007,2310,2223,1870,2062,1945,2130,2122,2099,1843,1937,1772,1641,1668,1637,1510,1474,1485,1542,1569,1577]","46598"
"qr kodu kullanarak wi-fi'ye bağlanın windows","[2025,1530,2090,2165,1879,1867,1633,1613,1803,1907,1824,1183,2070,2022,1971,1827,2006,2018,2113,1951,2010,1895,1846,1824,1853]","46925"
"link to qr code","[1969,1743,1846,1784,1943,2138,2290,1965,2021,2144,2182,1632,1927,2070,2024,1833,1760,1940,1955,1888,1903,1909,1948,2010,2172]","48996"
"generate qr code","[2599,2139,2152,2046,2146,2163,2267,1970,2031,2083,2089,1716,1941,2168,1980,1902,1652,1772,1778,1772,1714,1731,1746,1752,1836]","49145"
"qr code reader","[2167,2303,2383,2109,2120,2065,2158,2039,2010,2023,2077,1877,1921,2283,2034,1992,2049,2222,2068,1804,1774,1959,2031,2067,2135]","51670"
"escanear qr","[2133,2113,2187,1734,2207,2356,2304,2208,2158,2204,2227,2260,2138,2200,2253,2284,2076,2282,2291,1984,1974,1969,2071,2249,2363]","54225"
"qr コードを使用して wi-fi に接続する windows","[2369,2278,2520,3000,3135,2868,2631,2372,2098,2593,2470,2664,2572,2416,2278,2548,2281,2231,2274,2077,2350,2137,1792,2197,2284]","60435"
"qr code maker","[3099,3063,3441,2677,3197,3773,3540,3019,2704,2649,2499,2036,2495,2503,2124,1971,1763,1955,2002,2001,2240,2308,2102,2541,2596]","64298"
"create qr code","[2901,2809,2964,2467,2658,3050,3178,2757,2855,3012,2695,2165,2744,3038,2720,2345,2247,2329,2380,2233,2363,2586,2342,2506,2583]","65927"
"generador de qr","[2973,2679,2660,1638,2615,2994,3063,2752,3046,3164,3036,3074,2905,2960,2797,2575,2408,2437,2391,2222,2384,2404,2468,2586,2965]","67196"
"qrcode","[3310,3116,3141,2752,2732,3091,2841,2752,2801,2826,2872,2639,2653,2901,2971,2960,2802,2848,2936,2462,2329,2369,2332,2554,2623]","69613"
"qr 码生成器","[1931,2050,2197,2273,2341,2769,3090,2663,2641,2671,2645,2865,2750,2609,2116,3002,2968,3145,3348,3004,3255,3355,3593,3480,3391]","70152"
"www.aka.ms linkphone qr code","[2958,2983,2856,2870,2840,3038,2906,3022,2952,2919,2839,2770,3025,3360,3303,3183,3241,3276,3153,3241,3130,3340,3304,3482,3484]","77475"
"qr monkey","[4255,3874,3919,3153,3634,4231,4531,3912,4211,4113,4042,3558,3830,3997,3966,3590,3457,3388,3343,3349,3466,3575,3583,3809,4181]","94967"
"código qr","[1192,1158,1124,939,1973,1225,2788,2727,2887,2265,1296,1272,1279,3740,14687,13598,12794,12906,13963,5804,1028,1090,1037,2570,1768]","107110"
"how to scan qr code on android","[112,98,115,141,165,175,158,134,207,229,286,261,270,163,25,183,71,32,44,5453,11821,16554,17222,25311,32936]","112166"
"how to scan qr codes","[2229,1651,1803,2496,2360,2898,2432,2184,3276,3541,4288,3751,4208,3062,40,942,2080,1372,1996,7336,12453,11735,12656,11622,12230]","114641"
"scan qr code","[4430,4387,4352,4511,4580,4673,4502,4365,4615,5005,4783,4649,5192,5397,5027,4972,5040,4835,5154,4770,4687,4509,4686,5008,5197]","119326"
"qr code monkey","[5757,5499,5237,4379,4699,5632,6019,5423,5468,5738,5359,4430,5125,5389,4992,4893,4561,4999,4897,4700,4940,5055,4329,4851,5486]","127857"
"“使用 qr 码连接到 wi-fi”窗口","[6696,6467,6323,6022,5539,5751,5446,5267,5207,5235,5170,5497,5398,5423,5340,6212,6154,6538,6533,6467,5896,5242,5436,5719,7031]","146009"
"conectar-se ao wi-fi usando código qr no windows","[7602,7503,7354,6458,7435,7076,5817,6139,6936,6763,7099,6643,5637,6793,6541,5966,6167,6147,6055,6157,6174,6446,6520,6047,6775]","164250"
"qr code generator free","[7130,6620,7315,6254,7458,8284,8518,7597,7607,7210,6955,5863,6764,8043,6888,6443,4923,5067,5611,5286,6159,6195,5825,6212,6580]","166807"
"qr scanner","[7185,7138,7312,6399,6625,6976,6779,6693,7033,7042,7220,6276,6664,6804,6246,6294,6395,6268,6422,6461,6389,6557,6562,6536,6892]","167168"
"how to scan a qr code","[895,862,858,835,771,874,828,844,925,951,916,807,925,954,544,1118,1490,1254,1671,9928,18833,23498,25005,32389,41033]","169008"
"how to create a qr code","[2548,2370,2654,2857,2997,3742,3396,3286,4281,4353,4826,4546,4289,3946,1155,1244,937,1160,1052,6350,13060,17633,18292,26132,34282]","171388"
"free qr code generator","[7379,6237,6660,6769,7658,8852,8823,8539,8130,7868,6966,6553,7466,7790,6792,6430,5265,6171,6147,6420,7076,7811,7792,8258,8443]","182295"
"qr generator","[8560,8597,8140,6914,8202,8932,9068,8008,8367,7938,8005,7075,7384,8454,7378,7029,6848,6714,6594,6582,6769,6793,6731,6825,7028]","188935"
"qr code scanning","[245,177,190,201,262,266,233,196,329,323,395,289,397,299,61,2789,6055,4103,5989,19977,32826,33462,36658,31475,34554]","211751"
"qr code scanner","[27192,24116,26874,26255,30272,32157,30067,27613,28155,28616,28584,27469,31155,28691,27624,26188,25854,26253,27055,25823,24900,24096,24456,24760,26340]","680565"
"qr code","[50071,47174,45768,48846,50301,49630,56177,54022,57864,58478,58222,50051,51852,58827,90648,86713,80943,87185,87427,51504,26369,25643,26745,32891,34673]","1368024"
"connect to wi-fi using a qr code windows","[7939,5438,5609,5529,5850,6779,5325,7447,53447,78564,78939,71663,80452,83238,79860,80610,80445,82678,81914,81862,80913,84880,80226,77557,82261]","1389425"
"qr code generator","[108019,102988,100397,93369,93124,103512,107471,100025,102848,100058,98725,85914,94917,97144,86939,85529,82153,84831,84838,82427,81377,89383,85756,86576,93144]","2331464"
"scanner","[104216,100459,102650,91356,100797,104979,97590,93801,102961,93102,87271,79246,90210,97345,90158,86817,90353,94486,102078,99391,101042,100165,95451,96302,108966]","2411192"
